order_id,product_id,store_id
1,P0258,S0008
2,P0348,S0110
3,P0219,S0026
3,P0219,S0026
3,P0219,S0026
4,P0218,S0051
5,P0660,S0056
6,P0695,S0023
7,P0695,S0132
8,P0296,S0004
9,P0287,S0123
10,P0114,S0137
11,P0241,S0097
12,P0165,S0102
13,P0327,S0063
14,P0436,S0021
15,P0131,S0091
16,P0171,S0094
17,P0035,S0023
18,P0402,S0056
19,P0438,S0015
20,P0453,S0056
21,P0252,S0096
22,P0249,S0078
23,P0219,S0040
24,P0333,S0083
25,P0055,S0051
26,,
27,P0345,S0126
28,NA,NA
29,P0160,S0126
30,P0054,S0122
31,P0060,S0018
32,P0089,S0097
33,P0057,S0009
34,P0664,S0015
35,P0689,S0119
36,P0726,S0045
37,P0427,S0116
38,P0664,S0014
39,P0406,S0138
40,P0499,S0013
41,P0664,S0130
42,P0665,S0088
43,P0286,S0070
44,P0456,S0056
45,P0747,S0070
46,P0527,S0110
47,P0673,S0139
48,P0336,S0123
49,P0283,S0025
50,P0740,S0043
51,P0219,S0142
52,P0543,S0043
53,P0697,S0065
54,P0695,S0082
55,P0658,S0002
56,P0116,S0085
57,P0336,S0078
58,P0614,S0124
59,P0450,S0132
60,P0453,S0077
61,P0390,S0116
62,P0438,S0128
63,P0642,S0022
64,P0551,S0086
65,P0520,S0097
66,P0185,S0018
67,P0213,S0038
68,P0654,S0040
69,P0237,S0023
70,P0453,S0027
71,P0459,S0094
72,P0260,S0095
73,P0390,S0139
74,P0438,S0026
75,P0171,S0020
76,P0691,S0144
77,P0201,S0016
78,P0268,S0105
79,P0103,S0022
80,P0642,S0082
81,P0652,S0083
82,P0249,S0093
83,P0184,S0023
84,P0092,S0050
85,P0092,S0088
86,P0506,S0107
87,P0372,S0002
88,P0204,S0062
89,P0569,S0085
90,P0408,S0085
91,P0712,S0023
92,P0651,S0049
93,P0506,S0123
94,P0690,S0040
95,P0131,S0123
96,P0297,S0066
97,P0691,S0094
98,P0459,S0113
99,P0260,S0085
100,P0103,S0013
101,P0663,S0031
102,P0345,S0093
103,P0520,S0066
104,P0499,S0019
105,P0297,S0010
106,P0296,S0010
107,P0154,S0013
108,P0473,S0078
109,P0623,S0090
110,P0017,S0023
111,P0543,S0087
112,P0453,S0125
113,P0590,S0054
114,P0413,S0084
115,P0185,S0023
116,P0436,S0040
117,P0437,S0062
118,P0160,S0027
119,P0060,S0085
120,P0356,S0058
121,P0311,S0116
122,P0704,S0132
123,P0261,S0091
124,P0286,S0084
125,P0280,S0085
126,P0103,S0082
127,P0732,S0090
128,P0584,S0113
129,P0454,S0123
130,P0219,S0083
131,P0689,S0125
132,P0051,S0123
133,P0099,S0142
134,P0312,S0051
135,P0459,S0110
136,P0162,S0038
137,P0499,S0083
138,P0390,S0012
139,P0372,S0086
140,P0275,S0050
141,P0459,S0123
142,P0514,S0135
143,P0316,S0020
144,P0311,S0091
145,P0694,S0010
146,P0664,S0125
147,P0227,S0058
148,P0705,S0142
149,P0642,S0087
150,P0171,S0084
151,P0506,S0055
152,P0340,S0055
153,P0348,S0107
154,P0148,S0121
155,P0458,S0062
156,P0420,S0038
157,P0054,S0103
158,P0699,S0040
159,P0364,S0038
160,P0148,S0091
161,P0263,S0031
162,P0695,S0031
163,P0718,S0068
164,P0490,S0031
165,P0311,S0074
166,P0272,S0097
167,P0705,S0063
168,P0705,S0011
169,P0614,S0062
170,P0490,S0096
171,P0635,S0108
172,P0718,S0052
173,P0312,S0001
174,P0211,S0104
175,P0437,S0070
176,P0602,S0078
177,P0372,S0107
178,P0527,S0097
179,P0438,S0140
180,P0333,S0044
181,P0514,S0008
182,P0657,S0065
183,P0534,S0142
184,P0296,S0043
185,P0340,S0001
186,P0283,S0015
187,P0499,S0009
188,P0325,S0021
189,P0017,S0078
190,P0590,S0122
191,P0370,S0051
192,P0510,S0097
193,P0116,S0117
194,P0635,S0012
195,P0470,S0144
196,P0613,S0132
197,P0129,S0130
198,P0490,S0084
199,P0131,S0121
